##,World,CountryCode,Population,Columns,CountrySize,LatestCount,Position,Date of Day 1,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note
80,Hungary,HUN,"9,660,351",CK,C,"3,111",89,21/3/2020,,28/3/2020,10/4/2020,National,,,,,,,,,,,,,
81,Iceland,ISL,"341,243",CL,A,"1,799",90,13/3/2020,,,,Null,No lockdown,,,,,,,,,,,,
82,India,IND,"1,380,004,385",CM,D,"49,391",91,17/3/2020,,25/3/2020,,National,,,,,,,,,,,,,
83,Indonesia,IDN,"273,523,615",CN,D,"12,071",92,16/3/2020,,10/4/2020,22/5/2020,Localized,Jakarta,26/3/2020,31/7/2020,Localized,Tegal,,,,,,,,
84,Iran,IRN,"83,992,949",CP,D,"99,970",94,27/2/2020,,,,National,,,,,,,,,,,,,
85,Iraq,IRQ,"40,222,493",CQ,B,"2,431",95,16/3/2020,,22/3/2020,11/4/2020,National,Total lockdown,,,,,,,,,,,,
86,Ireland,IRL,"4,937,786",CR,A,"21,983",96,15/3/2020,,12/3/2020,5/5/2020,National,,,,,,,,,,,,,
87,Isle of Man,,"85,033",CS,A,326,97,4/4/2020,British Territory,23/3/2020,,National,,,,,,,,,,,,,
88,Israel,ISR,"8,655,535",CT,C,"16,289",98,14/3/2020,,2/4/2020,,Localized,Jeddah,,,,,,,,,,,,
89,Italy,ITA,"60,461,826",CU,D,"213,013",99,24/2/2020,,10/3/2020,,National,,,,,,,,,,,,,
90,Jamaica,JAM,"2,961,167",CV,A,473,100,#REF!,,12/3/2020,,National,,,,,,,,,,,,,
91,Japan,JPN,"126,476,461",CW,D,"15,354",101,22/2/2020,,7/4/2020,6/5/2020,Localized,"Chiba, Fukuoka, Hyōgo, Kanagawa, Osaka, Saitama, Tokyo, Hokkaido",,,National,Extension from localized lockdown,,,,,,,,
92,Jordan,JOR,"10,203,134",CY,C,471,103,24/3/2020,,21/3/2020,,National,,,,,,,,,,,,,
93,Kazakhstan,KAZ,"18,776,707",CZ,C,"4,277",104,27/3/2020,,19/3/2020,,Localized,"Almaty, Nur-Sultan",,,,,,,,,,,,
94,Kenya,KEN,"53,771,296",DA,B,535,105,3/4/2020,,15/3/2020,,National,,,,,,,,,,,,,
95,Kuwait,KWT,"4,270,571",DC,A,"5,804",107,15/3/2020,,14/3/2020,29/3/2020,National,,,,,,,,,,,,,
96,Kyrgyzstan,,"6,524,195",DD,C,871,108,1/4/2020,,22/3/2020,,National,"1 month state of emergency. 25 March - 15 April: Bishkek, Osh, Jala-Abad",,,,,,,,,,,,
97,Laos,LAO,"7,275,560",DE,C,19,109,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
98,Latvia,,"1,886,198",DF,A,896,110,21/3/2020,,17/3/2020,12/5/2020,National,,,,,,,,,,,,,
99,Lebanon,LBN,"6,825,445",DG,C,741,111,17/3/2020,,15/3/2020,28/3/2020,National,,,,,,,,,,,,,
100,Liberia,,"5,057,681",DH,A,170,112,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
101,Libya,LBY,"6,871,292",DI,C,63,113,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
